PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4
-11.988,165.732,-5.0,179.167,3.917,178.488,8.799,166.028
-11.772,165.673,-4.587,180.024,3.78,178.4,8.937000000000003,165.791
-11.909,165.673,-4.724,179.84599999999998,3.917,178.488,9.075,165.644
-11.772,165.673,-4.587,180.083,3.78,178.34099999999995,8.937000000000003,165.85
-11.909,165.673,-4.724,179.84599999999998,3.917,178.222,9.075,165.644
-11.772,165.673,-4.587,180.083,3.78,178.34099999999995,8.937000000000003,165.90900000000005
-11.909,165.673,-4.724,179.90599999999995,3.917,178.547,9.075,165.614
-11.772,165.673,-4.587,180.083,3.78,178.28099999999995,8.937000000000003,165.85
-12.264,165.732,-4.428999999999999,180.28900000000002,3.917,178.488,9.075,165.644
-11.772,165.673,-4.587,180.083,3.78,177.957,8.937000000000003,165.85
-11.909,165.673,-4.724,179.787,3.917,178.665,8.799,166.146
-11.772,165.732,-4.587,180.083,3.78,178.4,8.937000000000003,165.791
-11.909,165.673,-4.724,179.84599999999998,3.917,178.547,9.075,165.614
-11.772,165.732,-4.587,180.083,3.76,177.868,8.937000000000003,165.90900000000005
-11.909,165.732,-4.724,179.90599999999995,3.917,178.13400000000001,9.075,165.703
-11.772,165.732,-4.587,180.083,3.76,177.80900000000003,8.937000000000003,165.85
-11.909,165.732,-4.803,179.52200000000005,3.917,178.016,9.075,165.732
-11.772,165.732,-4.587,180.142,3.76,177.69099999999997,8.937000000000003,165.85
-11.909,165.732,-4.803,179.52200000000005,3.898,177.80900000000003,9.075,165.732
-11.772,165.732,-4.587,180.142,3.76,177.69099999999997,8.937000000000003,165.85
-11.909,165.732,-4.803,179.52200000000005,3.917,178.606,9.075,165.732
-11.772,165.732,-4.882,181.766,3.78,178.665,8.937000000000003,165.90900000000005
-11.909,165.732,-4.803,179.52200000000005,3.917,178.606,9.075,165.732
-11.772,165.732,-4.882,181.707,3.78,178.16299999999995,8.937000000000003,165.93900000000005
-11.634,165.762,-4.803,179.52200000000005,3.917,178.13400000000001,9.075,165.732
-11.772,165.732,-4.862,179.581,3.78,178.34099999999995,8.937000000000003,165.998
-11.634,165.732,-4.803,179.52200000000005,3.898,177.868,9.075,165.791
-11.772,165.732,-4.862,179.52200000000005,3.76,177.868,8.937000000000003,165.998
-11.634,165.732,-4.803,179.52200000000005,3.898,177.868,9.075,165.791
-11.772,165.732,-4.862,179.463,3.76,177.868,8.937000000000003,165.998
-11.634,165.732,-4.803,179.52200000000005,3.898,177.632,9.075,165.791
-11.772,165.732,-4.862,179.52200000000005,3.76,177.632,8.937000000000003,166.028
-11.634,165.732,-4.803,179.52200000000005,3.898,177.602,9.075,165.791
-11.772,165.732,-4.587,180.083,3.76,177.632,8.937000000000003,166.146
-11.634,165.732,-4.803,179.52200000000005,3.898,177.75,9.075,165.90900000000005
-11.772,165.732,-4.862,179.463,3.78,179.49200000000005,9.213,165.644
-11.634,165.732,-4.724,179.787,3.917,178.665,9.075,165.85
-11.772,165.732,-4.587,180.083,3.78,179.433,9.213,165.732
-11.634,165.732,-4.724,179.787,3.917,179.138,9.075,165.85
-11.495999999999999,165.732,-4.587,180.024,3.78,179.40400000000002,9.213,165.732
-11.634,165.732,-4.724,179.699,3.917,179.079,9.075,165.90900000000005
-11.495999999999999,165.732,-4.587,180.083,4.055,178.75400000000005,8.937000000000003,166.146
-11.634,165.732,-4.724,179.787,3.917,178.547,9.075,165.90900000000005
-11.495999999999999,165.732,-4.587,180.083,4.055,178.75400000000005,9.213,165.732
-11.634,165.732,-4.724,179.84599999999998,3.917,179.138,9.075,165.90900000000005
-11.772,165.732,-4.587,180.024,4.055,178.75400000000005,8.937000000000003,166.205
-11.634,165.732,-4.449,181.94299999999998,3.917,178.665,9.075,165.93900000000005
-11.495999999999999,165.732,-4.587,180.024,4.055,178.75400000000005,9.213,165.732
-11.634,165.732,-4.724,179.699,3.917,179.079,9.075,165.90900000000005
-11.495999999999999,165.732,-4.587,179.935,4.055,179.197,8.937000000000003,166.205
-11.634,165.732,-4.724,179.64,3.917,179.49200000000005,9.075,165.90900000000005
-11.495999999999999,165.762,-4.587,180.024,3.799,179.72799999999995,9.213,165.732
-11.634,165.821,-4.428999999999999,180.23,3.917,179.49200000000005,9.075,165.93900000000005
-11.495999999999999,165.821,-4.587,179.965,3.799,179.72799999999995,8.937000000000003,166.205
-11.988,165.732,-4.428999999999999,180.23,3.917,179.551,9.075,165.998
-11.495999999999999,165.821,-4.587,179.965,3.799,179.817,8.937000000000003,166.205
-11.634,165.732,-4.428999999999999,180.23,3.937,179.61,9.075,165.998
-11.495999999999999,165.762,-4.587,179.965,3.799,179.817,9.213,165.732
-11.634,165.732,-4.724,179.699,3.917,179.551,9.075,165.998
-11.495999999999999,165.821,-4.587,179.965,4.055,179.34400000000005,9.213,165.791
-11.634,165.732,-4.724,179.75799999999995,3.917,179.551,9.075,165.998
-11.495999999999999,165.762,-4.587,179.965,4.055,179.34400000000005,9.213,165.732
-11.634,165.762,-4.724,179.64,3.937,179.61,9.075,165.998
-11.495999999999999,165.732,-4.587,179.935,4.055,179.433,9.213,165.791
-11.634,165.762,-4.428999999999999,180.171,3.937,179.669,9.075,166.028
-11.495999999999999,165.85,-4.587,180.024,3.799,179.935,9.213,165.791
-11.988,165.732,-4.428999999999999,180.23,3.937,179.75799999999995,9.075,165.998
-11.495999999999999,165.821,-4.587,180.024,4.055,178.90200000000004,9.213,165.732
-11.988,165.732,-4.428999999999999,180.23,3.937,179.75799999999995,9.075,165.998
-11.495999999999999,165.762,-4.291,180.407,4.055,179.49200000000005,9.213,165.791
-11.634,165.821,-4.428999999999999,180.28900000000002,3.937,179.817,9.075,166.028
-11.703,165.732,-4.291,180.407,4.055,179.551,9.213,165.85
-11.634,165.762,-4.428999999999999,180.23,3.937,179.817,9.075,166.028
-11.495999999999999,165.762,-4.291,180.407,4.055,179.551,9.213,165.90900000000005
-11.634,165.821,-4.428999999999999,180.23,3.937,179.75799999999995,9.075,166.08700000000005
-11.703,165.732,-4.291,180.49599999999998,4.055,179.551,9.213,165.90900000000005
-11.339,165.85,-4.428999999999999,180.23,3.937,179.75799999999995,9.075,166.028
-11.495999999999999,165.85,-4.291,180.49599999999998,4.055,179.079,9.213,165.90900000000005
-11.339,165.821,-4.428999999999999,180.28900000000002,4.173,176.923,9.075,166.146
-11.495999999999999,165.762,-4.291,180.49599999999998,4.055,179.551,9.213,165.90900000000005
-11.634,165.762,-4.428999999999999,180.171,4.213,178.75400000000005,9.075,166.146
-11.495999999999999,165.821,-4.291,180.49599999999998,4.055,179.49200000000005,9.213,165.85
-11.339,165.85,-4.428999999999999,180.171,4.1930000000000005,178.695,9.075,166.205
-11.495999999999999,165.732,-4.291,180.34799999999998,4.055,179.138,9.213,165.90900000000005
-11.339,165.821,-4.428999999999999,180.171,4.173,176.923,9.075,166.205
-11.495999999999999,165.762,-4.291,180.34799999999998,4.055,179.138,9.213,165.90900000000005
-11.339,165.85,-4.428999999999999,180.083,4.173,177.071,9.075,166.205
-11.495999999999999,165.821,-4.291,180.34799999999998,4.075,179.817,9.213,165.998
-11.339,165.85,-4.428999999999999,180.024,4.213,178.813,9.35,165.791
-11.495999999999999,165.85,-4.291,180.407,4.075,179.75799999999995,9.213,165.998
-11.703,165.732,-4.428999999999999,180.142,4.173,176.864,9.075,166.205
-11.703,165.732,-4.291,180.34799999999998,4.075,179.817,9.213,165.998
-11.339,165.85,-4.154,180.49599999999998,4.213,178.872,9.35,165.791
-11.495999999999999,165.85,-4.291,180.28900000000002,4.075,179.75799999999995,9.213,165.998
-11.339,165.85,-4.154,180.467,4.213,179.551,9.35,165.791
-11.495999999999999,165.85,-4.291,180.23,4.075,179.817,9.213,166.028
-11.703,165.732,-4.428999999999999,179.965,4.213,179.551,9.075,166.205
-11.703,165.732,-4.291,180.23,4.075,179.817,9.213,165.998
-11.703,165.732,-4.154,180.49599999999998,4.232,179.61,9.35,165.791
-11.495999999999999,165.85,-4.291,180.28900000000002,4.075,179.817,9.213,165.998
-11.339,165.85,-4.428999999999999,180.024,4.232,179.61,9.075,166.205
-11.495999999999999,165.85,-4.291,180.23,4.075,179.75799999999995,9.213,165.998
-11.339,165.762,-4.154,180.407,4.213,179.49200000000005,9.075,166.205
-11.495999999999999,165.85,-4.291,180.23,4.075,179.817,9.213,165.998
-11.339,165.85,-4.154,180.49599999999998,4.213,179.551,9.075,166.205
-11.495999999999999,165.821,-4.291,180.23,4.075,179.817,9.213,165.93900000000005
-11.357999999999999,165.90900000000005,-4.154,180.49599999999998,4.232,179.61,9.075,166.205
-11.200999999999999,165.821,-4.291,180.23,4.075,179.87599999999995,9.213,165.998
-11.339,165.85,-4.154,180.407,4.232,179.669,9.35,165.791
-11.200999999999999,165.821,-4.291,180.23,4.075,179.935,9.213,165.998
-11.339,165.762,-4.154,180.49599999999998,4.232,179.61,9.075,166.205
-11.427,165.85,-4.291,180.171,4.075,179.965,9.213,165.998
-11.339,165.821,-4.428999999999999,179.817,4.213,179.551,9.35,165.791
-11.427,165.85,-4.291,180.171,4.075,179.87599999999995,9.213,165.998
-11.339,165.821,-4.428999999999999,179.817,4.232,179.61,9.35,165.791
-11.22,165.88,-4.291,180.23,4.35,179.40400000000002,9.213,165.998
-11.339,165.762,-4.154,180.467,4.232,179.72799999999995,9.35,165.791
-11.427,165.85,-4.291,180.171,4.35,179.433,9.213,165.998
-11.339,165.762,-4.154,180.467,4.232,179.75799999999995,9.35,165.732
-11.22,165.88,-4.291,180.171,4.35,179.40400000000002,9.213,165.998
-11.339,165.821,-4.154,180.34799999999998,4.232,179.75799999999995,9.075,166.205
-11.200999999999999,165.821,-4.291,180.142,4.075,179.965,9.213,165.998
-11.339,165.732,-4.154,180.407,4.232,179.72799999999995,9.075,166.205
-11.200999999999999,165.821,-4.291,180.024,4.35,179.433,9.213,165.998
-11.339,165.85,-4.154,180.34799999999998,4.232,179.75799999999995,9.35,165.791
-11.200999999999999,165.821,-4.291,180.083,4.075,180.26,9.213,165.998
-11.339,165.85,-4.154,180.34799999999998,4.232,179.817,9.075,166.205
-11.22,165.88,-4.291,180.083,4.075,180.26,9.213,165.93900000000005
-11.339,165.85,-4.154,180.34799999999998,4.232,179.817,9.075,166.205
-11.22,165.88,-4.291,180.083,4.075,180.201,9.213,165.90900000000005
-11.339,165.85,-4.154,180.34799999999998,4.232,179.817,9.075,166.205
-11.22,165.88,-4.291,180.083,4.075,180.201,9.213,165.85
-11.339,165.821,-4.154,180.34799999999998,4.232,179.965,9.075,166.205
-11.200999999999999,165.821,-4.291,180.024,4.075,180.26,9.213,165.93900000000005
-11.357999999999999,165.90900000000005,-4.154,180.34799999999998,4.232,180.083,9.075,166.205
-11.22,165.88,-4.291,180.083,4.075,180.26,9.213,165.90900000000005
-11.339,165.85,-4.154,180.34799999999998,4.232,180.024,9.075,166.205
-11.200999999999999,165.821,-4.291,180.083,4.075,180.26,9.213,165.998
-11.339,165.85,-4.154,180.34799999999998,4.232,180.024,9.075,166.146
-11.200999999999999,165.821,-4.291,180.083,4.075,180.467,9.213,165.93900000000005
-11.062999999999999,165.821,-4.154,180.34799999999998,4.232,180.024,9.075,166.205
-11.22,165.88,-4.291,180.024,4.37,179.75799999999995,9.213,165.90900000000005
-11.357999999999999,165.90900000000005,-4.154,180.23,4.232,180.083,9.075,166.205
-11.200999999999999,165.821,-4.291,179.965,4.37,179.817,9.213,165.90900000000005
-11.427,165.85,-4.154,180.171,4.232,180.083,9.075,166.205
-11.200999999999999,165.821,-4.291,179.965,4.37,179.75799999999995,9.213,165.85
-11.083,165.88,-4.154,180.23,4.232,180.083,9.075,166.205
-11.200999999999999,165.821,-4.291,180.083,4.37,179.75799999999995,9.213,165.90900000000005
-11.062999999999999,165.821,-4.154,180.23,4.232,180.142,9.075,166.205
-11.22,165.88,-4.291,180.024,4.37,179.87599999999995,9.213,165.90900000000005
-11.357999999999999,165.90900000000005,-4.154,180.23,4.232,180.142,9.075,166.205
-11.22,165.88,-3.9960000000000004,180.467,4.37,179.817,9.213,165.90900000000005
-11.083,165.88,-4.154,180.23,4.232,180.201,9.075,166.205
-11.22,165.88,-3.9960000000000004,180.467,4.37,179.817,9.213,165.90900000000005
-11.062999999999999,165.821,-4.154,180.23,4.232,180.201,9.075,166.146
-11.200999999999999,165.821,-4.291,179.965,4.37,179.817,9.213,165.90900000000005
-11.339,165.85,-4.154,180.23,4.232,180.28900000000002,9.35,165.644
-11.200999999999999,165.821,-4.291,179.965,4.075,180.34799999999998,9.213,165.85
-11.339,165.85,-4.154,180.34799999999998,4.232,180.201,9.075,166.146
-11.22,165.88,-3.9960000000000004,180.467,4.075,180.34799999999998,9.213,165.90900000000005
-11.083,165.88,-4.154,180.23,4.232,180.26,9.075,166.028
-11.22,165.93900000000005,-4.291,179.965,4.37,179.935,9.213,165.90900000000005
-11.083,165.93900000000005,-4.154,180.23,4.232,180.26,9.075,166.028
-11.22,165.88,-4.291,179.935,4.37,179.965,9.213,165.90900000000005
-11.083,165.93900000000005,-4.154,180.23,4.232,180.34799999999998,9.075,166.146
-11.22,165.93900000000005,-4.291,180.024,4.35,179.49200000000005,9.213,165.791
-11.083,165.93900000000005,-4.154,180.34799999999998,4.232,179.75799999999995,9.075,166.146
-11.200999999999999,165.821,-3.9960000000000004,180.49599999999998,4.075,180.467,9.213,165.90900000000005
-11.062999999999999,165.821,-4.154,180.34799999999998,4.232,180.34799999999998,9.075,166.08700000000005
