P1,P2,P3,P4
-10.787,-5.0,3.622,9.331
-10.65,-4.587,3.78,9.193
-10.787,-4.724,3.622,9.331
-10.65,-4.587,3.78,9.193
-10.787,-4.724,3.622,9.331
-10.65,-4.587,3.78,9.193
-10.512,-4.724,3.917,9.331
-10.65,-4.587,3.78,9.193
-10.512,-4.428999999999999,3.917,9.331
-10.65,-4.587,3.78,9.193
-10.512,-4.724,3.917,9.331
-10.65,-4.587,3.78,9.213
-10.787,-4.724,3.622,9.331
-10.65,-4.587,3.76,9.193
-10.512,-4.724,3.602,9.331
-10.65,-4.587,3.484,9.193
-10.512,-4.724,3.602,9.331
-10.65,-4.587,3.76,9.193
-10.512,-4.724,3.898,9.331
-10.65,-4.587,3.76,9.213
-10.512,-4.724,3.917,9.331
-10.65,-5.157,3.78,9.213
-10.787,-5.0,3.917,9.331
-10.65,-4.882,3.78,9.213
-10.787,-5.0,3.917,9.331
-10.65,-4.862,3.78,9.469
-10.512,-4.724,3.898,9.626
-10.65,-4.862,3.76,9.213
-10.512,-4.724,3.602,9.626
-10.65,-4.862,3.76,9.213
-6.928999999999999,-4.724,3.602,9.35
-10.65,-4.862,3.76,9.213
-6.928999999999999,-4.724,3.898,9.35
-10.65,-4.587,3.76,9.213
-6.928999999999999,-4.724,3.898,9.35
-10.65,-4.862,3.78,9.213
-10.512,-4.724,3.917,9.35
-7.067,-4.587,3.78,9.488
-10.512,-4.724,3.917,9.35
-7.067,-4.587,3.78,9.488
-10.512,-4.724,3.917,9.35
-7.067,-4.587,4.055,9.488
-10.512,-4.724,3.917,9.35
-10.374,-4.587,4.055,9.488
-10.512,-4.724,3.917,9.35
-10.374,-4.587,4.055,9.488
-10.512,-4.724,3.917,9.35
-7.067,-4.587,4.055,9.783
-10.512,-4.724,3.917,9.35
-7.067,-4.587,4.055,9.213
-10.512,-4.724,3.917,9.35
-10.374,-4.587,3.799,9.213
-7.185,-4.428999999999999,3.917,9.35
-10.374,-4.587,3.799,9.488
-10.512,-4.428999999999999,3.917,9.35
-10.374,-4.587,3.799,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.587,3.799,9.783
-10.512,-4.724,3.917,9.35
-10.374,-4.587,4.055,9.488
-10.512,-4.724,3.917,9.35
-10.374,-4.587,4.055,9.213
-10.512,-4.724,3.937,9.35
-10.374,-4.587,4.055,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.587,3.799,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.587,4.055,9.213
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.291,4.055,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.291,4.055,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.291,4.055,9.488
-10.512,-4.428999999999999,3.937,9.35
-10.374,-4.291,4.055,9.488
-10.236,-4.428999999999999,3.937,9.35
-10.374,-4.291,4.055,9.488
-10.512,-4.428999999999999,4.173,9.35
-10.65,-4.291,4.055,9.488
-10.236,-4.428999999999999,4.213,9.35
-10.374,-4.291,4.055,9.488
-10.512,-4.428999999999999,4.1930000000000005,9.35
-10.65,-4.291,4.055,9.488
-10.512,-4.428999999999999,4.173,9.626
-10.374,-4.291,4.055,9.488
-10.236,-4.428999999999999,4.173,9.35
-10.669,-4.291,4.075,9.488
-10.236,-4.428999999999999,4.213,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.428999999999999,4.173,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.154,4.213,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.154,4.213,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.428999999999999,4.213,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.154,4.232,9.626
-10.374,-4.291,4.075,9.488
-10.236,-4.428999999999999,4.232,9.626
-10.374,-4.291,4.075,9.488
-10.512,-4.154,4.213,9.626
